1013,0,0,0,0,0
100,19.59,17.97,20.08,18.27,17.57
60,27.82,27.85,27.93,27.96,27.17
40,33.25,33.37,33.74,33.29,33.04
20,41.06,41.16,41.49,41.24,40.86
10,48.22,48.51,48.75,48.52,48.6
6,53.36,53.64,53.96,53.68,53.64
4,56.93,57.33,57.72,57.53,57.47
2,63.32,64,64.45,64.32,64
1,70.85,71.35,71.71,71.84,71.37
0.6,77.24,77.81,77.95,77.89,77.92
0.4,84.07,85.17,85.35,85.37,85.42
0.2,98.17,98.9,99.39,99.21,99.52
0.1,112.73,113.82,115.51,113.98,114.12
0.06,142.46,145.39,146.93,142.53,142.28
