2.00,0.20,0.00,0.00,0.00,0.00,0.00
4.00,0.40,0.66,0.60,0.86,0.71,0.08
6.00,0.60,1.55,1.43,1.69,1.56,0.08
8.00,0.80,2.22,2.09,2.30,2.20,0.06
10.00,1.00,2.69,2.70,3.04,2.81,0.12
14.00,1.40,4.16,3.85,4.24,4.08,0.12
20.00,2.00,5.75,5.62,5.90,5.76,0.08
24.00,2.40,6.87,6.76,7.23,6.95,0.14
30.00,3.00,8.85,8.72,9.05,8.87,0.10
