5.00E-005,0,0,0
1.00E-004,1.05,0.61,0.86
2.00E-004,2.92,2.87,2.25
3.00E-004,4.97,5.13,4.57
4.00E-004,7.18,7.36,6.93
5.00E-004,9.6,9.77,9.24
6.00E-004,11.83,11.85,11.52
7.00E-004,13.91,14.17,13.89
8.00E-004,16.19,16.45,16.17
9.00E-004,18.41,18.59,18.6
1.00E-003,20.88,21.32,21.29
