100,571,0,689,0
200,686,0,920,0
300,369,24,725,24
400,416,36,887,36
500,224,66,818,66
600,252,81,959,81
700,88,108,918,108
800,161,120,782,141
900,218,132,881,156
1000,148,153,812,186
